pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
46411,XX,nse_fo,OPTIDX,NIFTY,NIFTY2611329900PE,PE,NIFTY13JAN2629900.00PE,,26000,,,,,,5,65,1452781800,-1,2,2990000.0,NSE,OPTIDX,1452781800,1449792000,1452781800,1449792000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1452729600.0,1452781800.0,,,,362170.0,Cash,,1,1,1801.0,65,0.0,419915.0,304425.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
65553,XX,nse_fo,OPTIDX,NIFTY,NIFTY25DEC25550CE,CE,NIFTY30DEC2525550.00CE,,26000,,,,,,5,75,1451572200,-1,2,2555000.0,NSE,OPTIDX,1451572200,1443744000,1451572200,1443744000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1451520000.0,1451572200.0,,,,65970.0,Cash,,0,1,1801.0,75,11475.0,117395.0,14545.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58640,XX,nse_fo,OPTIDX,NIFTY,NIFTY26DEC18000CE,CE,NIFTY29DEC2618000.00CE,,26000,,,,,,5,75,1483021800,-1,2,1800000.0,NSE,OPTIDX,1483021800,1325376000,1483021800,1325376000,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1483021800.0,1483021800.0,,,,924275.0,Cash,,1,1,1801.0,75,0.0,1019180.0,829365.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57120,XX,nse_fo,OPTIDX,NIFTY,NIFTY25D2328550PE,PE,NIFTY23DEC2528550.00PE,,26000,,,,,,5,75,1450967400,-1,2,2855000.0,NSE,OPTIDX,1450967400,1447977600,1450967400,1447977600,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1450915200.0,1450967400.0,,,,237300.0,Cash,,1,1,1801.0,75,0.0,295045.0,179555.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
89643,XX,nse_fo,OPTIDX,NIFTY,NIFTY29JUN30000PE,PE,NIFTY26JUN2930000.00PE,,26000,,,,,,5,75,1561645800,-1,2,3000000.0,NSE,OPTIDX,1561645800,1404000000,1561645800,1404000000,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1561645800.0,1561645800.0,,,,180695.0,Cash,,0,1,1801.0,75,0.0,423875.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
35133,XX,nse_fo,OPTIDX,NIFTY,NIFTY25DEC31250CE,CE,NIFTY30DEC2531250.00CE,,26000,,,,,,5,75,1451572200,-1,2,3125000.0,NSE,OPTIDX,1451572200,1446249600,1451572200,1446249600,0,0,0,0,0,,0,0,1450888496,,,,,,,,,,FO,,,,,,,1451520000.0,1451572200.0,,,,5.0,Cash,,1,1,1801.0,75,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
44440,XX,nse_fo,OPTIDX,NIFTY,NIFTY25D2331450PE,PE,NIFTY23DEC2531450.00PE,,26000,,,,,,5,75,1450967400,-1,2,3145000.0,NSE,OPTIDX,1450967400,1448150400,1450967400,1448150400,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1450915200.0,1450967400.0,,,,527255.0,Cash,,1,1,1801.0,75,0.0,585000.0,469510.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58798,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JAN25900PE,PE,NIFTY27JAN2625900.00PE,,26000,,,,,,5,65,1453991400,-1,2,2590000.0,NSE,OPTIDX,1453991400,1446163200,1453991400,1446163200,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1453939200.0,1453991400.0,,,,13795.0,Cash,,0,1,1801.0,65,355680.0,33835.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
40289,XX,nse_fo,OPTIDX,NIFTY,NIFTY2610623550CE,CE,NIFTY06JAN2623550.00CE,,26000,,,,,,5,65,1452177000,-1,2,2355000.0,NSE,OPTIDX,1452177000,1449187200,1452177000,1449187200,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1452124800.0,1452177000.0,,,,267935.0,Cash,,1,1,1801.0,65,0.0,325675.0,210195.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
46144,XX,nse_fo,OPTIDX,NIFTY,NIFTY2611325400PE,PE,NIFTY13JAN2625400.00PE,,26000,,,,,,5,65,1452781800,-1,2,2540000.0,NSE,OPTIDX,1452781800,1449792000,1452781800,1449792000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1452729600.0,1452781800.0,,,,2900.0,Cash,,0,1,1801.0,65,13845.0,12220.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
